uuid,name,ipv4,ipv6,region,price,billing_cycle,currency,expired_at,auto_renewal,hidden,created_at,updated_at,monthly_cny,name_norm,active_ip,active_name,active_panel,provider,rep,recommend,prov_reg_cnt
86852f69-6828-4efe-a2e5-f34f27649ca1,CloudCone,72.18.81.104,2607:f130:0:18e::cb6e:bb10,🇺🇸,7.99,365,$,2026-11-25,1,0,2025-12-07 19:21:49.4204118,2026-03-15 05:42:01.74009688+00:00,4.60357612681036,cloudcone,False,False,False,CloudCone,A,REMOVE,4
3291c7ec-1b13-425b-889e-b9c56c81ec01,CloudCone,142.171.34.114,2607:f130:0:158::f416:476c,🇺🇸,7.0,365,$,2026-12-03,1,0,2025-12-07 19:27:50.5356048,2026-03-15 05:42:45.32025304+00:00,4.033170574176785,cloudcone,False,False,False,CloudCone,A,REMOVE,4
bec01b73-1425-405a-94c2-7dd9a30065a0,ACCK- HKCM-one,103.193.149.140,,🇭🇰,1.2,30,¥,2026-04-12 00:00:00.0000000,1,0,2026-02-02 05:06:44.7974925,2026-03-15 01:53:45.0936338+00:00,1.2175,acckhkcmone,False,False,False,ACCK,C,REMOVE,4
18cd0aa0-8b6e-465e-9284-94966db37ebb,ACCK HKLite,154.83.98.86,2401:b60:2a:20e0:fbe0:eb9a:1c2f:8496,🇭🇰,1.11,30,¥,2026-03-25 00:00:00.0000000,1,0,2025-12-07 10:03:23.3163292,2026-03-14 05:45:11.49112656+00:00,1.1261875,acckhklite,False,False,False,ACCK,C,REMOVE,4
598f2d48-ac29-481f-a2e6-99e15d26c61c,ACCK HKLite-One,156.226.170.168,2401:b60:2a:403d:77dd:e2e6:cca2:8ae8,🇭🇰,0.18,30,¥,2026-04-07 00:00:00.0000000,1,0,2025-12-07 10:05:49.6211998,2026-03-14 05:47:00.654352+00:00,0.1826249999999999,acckhkliteone,False,False,False,ACCK,C,REMOVE,4
303ef783-0b0a-4b25-a13e-f0fbd7ac4e4d,Uzumaru Global-1.Small,47.147.10.26,,🇺🇸,7.0,30,$,2026-03-20 00:00:00.0000000,1,0,2026-01-20 08:30:45.3099549,2026-03-15 05:43:28.39455728+00:00,49.07024198581756,uzumaruglobal1small,False,False,False,Uzumaru,C,REMOVE,3
a6114c6e-957a-4bfa-b2a1-7220f617f767,RFCHost-HK | Tier 1 International Optimization Network (Jinx) - T1ION-Unlimited speed-MinB-Jinx,172.81.111.120,,🇭🇰,4.5,30,$,2026-03-19 08:50:26.4778314,1,0,2025-12-10 15:11:31.4387968,2026-03-15 05:44:13.30042444+00:00,31.545155562311287,rfchosthktier1internationaloptimizationnetworkjinxt1ionunlimitedspeedminbjinx,False,False,False,RFCHost,C,REMOVE,3
d476e2fb-2802-4f0e-898c-0c9d6350c390,RFCHost-HK | Tier 1 International Optimization Network - T1ION-Unlimited speed-MinB,104.251.236.148,,🇭🇰,4.5,30,$,2026-03-18 00:00:00.0000000,1,0,2025-12-10 15:13:59.3263059,2026-03-15 05:45:18.00136432+00:00,31.545155562311287,rfchosthktier1internationaloptimizationnetworkt1ionunlimitedspeedminb,False,False,False,RFCHost,C,REMOVE,3
9dda7eae-dced-4cd6-a3a9-7ac91996a5a1,VMISS US.LA.CN2.Basic,38.207.191.187,,🇺🇸,25.0,30,¥,2026-03-21,1,0,2026-02-22 13:52:05.9988159,2026-03-15 05:41:53.30575064+00:00,25.364583333333332,vmissuslacn2basic,False,False,False,VMISS,C,REMOVE,3
fc1188af-05b6-4878-a0d8-684ab2f25779,DMIT-LAX.AN4.Pro.Echo (HKG),154.17.26.213,2605:52c0:2:2994:8456:b4ff:fe0d:4f67,🇺🇸,39.9,365,$,2225-12-23,1,0,2025-12-09 08:20:16.0798823,2026-03-15 05:45:24.25486348+00:00,22.989072272807675,dmitlaxan4proechohkg,False,False,False,DMIT,A,REMOVE,3
f24b8ceb-68d9-4a35-98b6-86be3034d1d0,DMIT-LAX.AN4.Pro.Echo (TYO),154.17.30.233,2605:52c0:2:2d34:f833:87ff:fe96:ec0d,🇺🇸,39.9,365,$,2225-12-23,1,0,2025-12-09 08:20:43.1198499,2026-03-15 05:41:18.8585824+00:00,22.989072272807675,dmitlaxan4proechotyo,False,False,False,DMIT,A,REMOVE,3
1b09ee58-b04e-43a0-ad93-f9fbafdfa1d4,DMIT-LAX.EB.WEE,69.63.195.5,2605:52c0:1:5b3:dce2:dbff:fe21:3b4,🇺🇸,39.9,365,$,2225-12-11,1,0,2025-12-09 08:21:40.1261729,2026-03-15 05:44:47.44026944+00:00,22.989072272807675,dmitlaxebwee,False,False,False,DMIT,A,REMOVE,3
14c73ce6-5534-40cc-85bd-fb3ffdee99e3,RFCHost-HK | Tier 1 International Optimization Network (Jinx) - T1ION-Unlimited speed-MiniA-Jinx,172.81.111.70,,🇭🇰,3.0,30,$,2026-03-18 00:00:00.0000000,1,0,2025-12-10 15:15:47.7289334,2026-03-15 05:41:26.51316168+00:00,21.030103708207527,rfchosthktier1internationaloptimizationnetworkjinxt1ionunlimitedspeedminiajinx,False,False,False,RFCHost,C,REMOVE,3
488435ef-0f32-4643-9c70-7da90198f7bb,Uzumaru USAT3.Small,65.195.39.4,,🇺🇸,3.0,30,$,2026-03-28,1,0,2026-02-03 10:16:42.0383164,2026-03-15 05:43:27.01901936+00:00,21.030103708207527,uzumaruusat3small,False,False,False,Uzumaru,C,REMOVE,3
b7649609-9c31-4ed5-91f7-dc5ea1e03936,Uzumaru USVZ1.Small,204.252.84.1,,🇺🇸,3.0,30,$,2026-03-10 00:00:00.0000000,1,0,2026-01-21 20:31:00.2764539,2026-03-14 03:43:21.76268576+00:00,21.030103708207527,uzumaruusvz1small,False,False,False,Uzumaru,C,REMOVE,3
0cc24ad4-2978-43d1-bec1-1f3e9d54d4c8,VMISS US.LA.TRI.Basic,38.95.79.66,2602:f656:2::87,🇺🇸,20.0,30,¥,2026-03-16,1,0,2026-02-18 21:07:23.2874887,2026-03-15 05:42:51.16040476+00:00,20.291666666666668,vmissuslatribasic,False,False,False,VMISS,C,REMOVE,3
